country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
