country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Russia,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
South Korea,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
North Cyprus,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Turkmenistan,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hong Kong,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Somalia,5.44,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Turkey,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
China,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Bhutan,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Macedonia,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Vietnam,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Somaliland Region,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Tajikistan,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Laos,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Nepal,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Namibia,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Cameroon,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Ethiopia,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
South Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Sri Lanka,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
India,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Egypt,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Armenia,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Congo (Brazzaville),4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Senegal,4.219,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Mauritania,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Zimbabwe,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Malawi,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Sudan,4.139,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Mali,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Comoros,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Ivory Coast,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Cambodia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
South Sudan,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Tanzania,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Togo,3.303,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Syria,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
United States,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
